,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28252,nxuv8qff,1,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,1,56,tuf4a7eb,jsq4s0n9
28253,nxuv8qff,2,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,2,56,tuf4a7eb,jsq4s0n9
28254,nxuv8qff,3,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,24.0,6693ce87e76d32ccf07fbcd8,0,0,3,56,tuf4a7eb,jsq4s0n9
28255,nxuv8qff,4,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,4,56,tuf4a7eb,jsq4s0n9
28256,nxuv8qff,5,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,24.0,6693ce87e76d32ccf07fbcd8,0,0,5,56,tuf4a7eb,jsq4s0n9
28257,nxuv8qff,6,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,6,56,tuf4a7eb,jsq4s0n9
28258,nxuv8qff,7,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,24.0,6693ce87e76d32ccf07fbcd8,0,0,7,56,tuf4a7eb,jsq4s0n9
28259,nxuv8qff,8,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,8,56,tuf4a7eb,jsq4s0n9
28260,nxuv8qff,9,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,17.0,6693ce87e76d32ccf07fbcd8,0,0,9,56,tuf4a7eb,jsq4s0n9
28261,nxuv8qff,10,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Defect,2,24.0,6693ce87e76d32ccf07fbcd8,0,0,10,56,tuf4a7eb,jsq4s0n9
28262,nxuv8qff,11,0.95,24.0,8.0,14.0,17.0,29,24.0,0,0,0,Cooperate,2,8.0,6693ce87e76d32ccf07fbcd8,0,0,11,56,tuf4a7eb,jsq4s0n9
